PI,Difference,Error,Ntot,AvailableProcessors,TimeDuration(ms)
3,137080;-0,004513;0,001436;100000;1;6;
3,135720;-0,005873;0,001869;100000;1;6;
3,145200;0,003607;0,001148;100000;1;8;
3,135400;-0,006193;0,001971;100000;1;7;
3,141320;-0,000273;0,000087;100000;1;11;
3,143560;0,001967;0,000626;200000;2;16;
3,144200;0,002607;0,000830;200000;2;14;
3,138080;-0,003513;0,001118;200000;2;13;
3,138560;-0,003033;0,000965;200000;2;13;
3,132700;-0,008893;0,002831;200000;2;14;
3,141880;0,000287;0,000091;400000;4;16;
3,144260;0,002667;0,000849;400000;4;26;
3,141450;-0,000143;0,000045;400000;4;18;
3,142740;0,001147;0,000365;400000;4;30;
3,143860;0,002267;0,000722;400000;4;25;
3,143735;0,002142;0,000682;800000;8;27;
3,139865;-0,001728;0,000550;800000;8;38;
3,144700;0,003107;0,000989;800000;8;36;
3,143120;0,001527;0,000486;800000;8;40;
3,144955;0,003362;0,001070;800000;8;36;
3,140845;-0,000748;0,000238;1600000;16;54;
3,142055;0,000462;0,000147;1600000;16;54;
3,144115;0,002522;0,000803;1600000;16;60;
3,143055;0,001462;0,000465;1600000;16;50;
3,142643;0,001050;0,000334;1600000;16;55;
3,145052;0,003459;0,001101;1000000;1;30;
3,142316;0,000723;0,000230;1000000;1;29;
3,138768;-0,002825;0,000899;1000000;1;30;
3,139788;-0,001805;0,000574;1000000;1;30;
3,141168;-0,000425;0,000135;1000000;1;32;
3,141906;0,000313;0,000100;2000000;2;37;
3,141914;0,000321;0,000102;2000000;2;37;
3,141630;0,000037;0,000012;2000000;2;40;
3,141164;-0,000429;0,000136;2000000;2;36;
3,142786;0,001193;0,000380;2000000;2;40;
3,142872;0,001279;0,000407;4000000;4;45;
3,140591;-0,001002;0,000319;4000000;4;44;
3,141702;0,000109;0,000035;4000000;4;44;
3,142285;0,000692;0,000220;4000000;4;44;
3,140135;-0,001458;0,000464;4000000;4;43;
3,142159;0,000566;0,000180;8000000;8;52;
3,141280;-0,000313;0,000100;8000000;8;48;
3,142407;0,000814;0,000259;8000000;8;56;
3,141312;-0,000281;0,000089;8000000;8;56;
3,141865;0,000272;0,000087;8000000;8;54;
3,141249;-0,000344;0,000109;16000000;16;73;
3,141980;0,000388;0,000123;16000000;16;68;
3,140988;-0,000605;0,000192;16000000;16;75;
3,141878;0,000286;0,000091;16000000;16;70;
3,141144;-0,000448;0,000143;16000000;16;72;
3,142108;0,000515;0,000164;10000000;1;273;
3,141814;0,000222;0,000071;10000000;1;272;
3,141165;-0,000427;0,000136;10000000;1;262;
3,140945;-0,000648;0,000206;10000000;1;267;
3,140788;-0,000804;0,000256;10000000;1;268;
3,141784;0,000191;0,000061;20000000;2;273;
3,141161;-0,000431;0,000137;20000000;2;271;
3,141882;0,000289;0,000092;20000000;2;273;
3,141565;-0,000028;0,000009;20000000;2;289;
3,141159;-0,000433;0,000138;20000000;2;272;
3,141263;-0,000330;0,000105;40000000;4;301;
3,142002;0,000409;0,000130;40000000;4;298;
3,141612;0,000020;0,000006;40000000;4;302;
3,141068;-0,000525;0,000167;40000000;4;295;
3,141655;0,000063;0,000020;40000000;4;295;
3,141528;-0,000064;0,000020;80000000;8;310;
3,141337;-0,000256;0,000082;80000000;8;301;
3,141389;-0,000203;0,000065;80000000;8;305;
3,141686;0,000093;0,000030;80000000;8;304;
3,141670;0,000078;0,000025;80000000;8;307;
3,141472;-0,000121;0,000038;160000000;16;346;
3,141703;0,000110;0,000035;160000000;16;363;
3,141625;0,000033;0,000010;160000000;16;360;
3,141494;-0,000099;0,000032;160000000;16;354;
3,141397;-0,000196;0,000062;160000000;16;348;
